"","Path","Parameter","EstimateNotStd","EstimateStd"
"1","habitatbenthopelagic -> c_m","p0",-0.0167039317507587,-0.19057004028616
"2","habitatdemersal -> c_m","p1",0.00713538811248133,0.0865092770784585
"3","habitatpelagic -> c_m","p2",-0.00514201956104702,-0.0824094854803045
"4","Temperature-> K","p3",0.0147073516531629,0.14747288276644
"5","Temperature-> M","p4",0.0302331526897699,0.27923978634153
"6","Temperature-> Loo","p5",-0.0163629293028942,-0.168243812769785
"7","Loo -> K","p6",-0.578655724448894,-0.564312797398423
"8","Loo -> M","p7",-0.774368855822711,-0.695606592981295
"9","Loo -> Max_body_width","p8",-0.00458495183277133,-0.0206946701640379
"10","Loo -> Max_body_depth","p9",-0.0139761251650424,-0.0568248651897092
"11","Loo -> Lower_jaw_length","p10",0.0539924010523195,0.125238334245953
"12","Loo -> Min_caudalpeduncle_depth","p11",-0.0475548802995202,-0.0935023398269147
"13","Loo -> Woo","p12",2.97199079173586,2.74850992409211
"14","Max_body_depth-> c_m","p13",0.0444727562028795,0.0415313161062518
"15","Max_body_width-> c_m","p14",0.0549846266046273,0.0462541633360021
"16","Lower_jaw_length-> c_m","p15",-0.0319199208188546,-0.0522504992833798
"17","Min_caudalpeduncle_depth  -> c_m","p16",0.0314133350798286,0.06066244934864
"18","Max_body_depth-> TLDiet","p17",0.0330986097508717,0.0160834964192543
"19","Max_body_width-> TLDiet","p18",0.0372196977043795,0.0162918895509842
"20","Lower_jaw_length-> TLDiet","p19",0.0791612514270027,0.0674264596260793
"21","Min_caudalpeduncle_depth  -> TLDiet","p20",-0.00338726388755545,-0.00340364293199088
"22","c_m -> K","p21",-3.60754589636959,-0.926569989002031
"23","c_m -> M","p22",-3.73268121275732,-0.883086878415981
"24","c_m -> Woo","p23",0.334224890408639,0.0814058018723525
"25","K -> Lm","p24",0.182857561950174,0.436306424673695
"26","K -> tm","p25",-0.113462172211739,-0.111197181993117
"27","M -> tmax","p26",-0.444241602033249,-0.487583748890027
"28","M -> tm","p27",0.387298124382258,0.412070870368219
"29","M -> Lm","p28",-0.031027302140948,-0.0803723249757459
"30","Woo -> TLDiet","p29",0.0311605114894052,0.0665697728383382
"31","Woo -> fecundity","p30",0.585993932345666,0.225275251580748
"32","habitatbenthopelagic <-> habitatbenthopelagic","V[habitatbenthopelagic]",1.22657341832207,1.22657341832207
"33","habitatdemersal <-> habitatdemersal","V[habitatdemersal]",1.38519806257913,1.38519806257913
"34","habitatpelagic <-> habitatpelagic","V[habitatpelagic]",2.42051995450434,2.42051995450434
"35","c_m <-> c_m","V[c_m]",0.0094237056151052,0.0094237056151052
"36","tm <-> tm","V[tm]",0.148731722182869,0.148731722182869
"37","Lm <-> Lm","V[Lm]",0.0250917883491995,0.0250917883491995
"38","tmax <-> tmax","V[tmax]",0.139764430091677,0.139764430091677
"39","K <-> K","V[K]",0.142852873849167,0.142852873849167
"40","Woo <-> Woo","V[Woo]",0.158850495101432,0.158850495101432
"41","M <-> M","V[M]",0.168366874196219,0.168366874196219
"42","TLDiet <-> TLDiet","V[TLDiet]",0.0348051555096322,0.0348051555096322
"43","Loo <-> Loo","V[Loo]",0.135858955892059,0.135858955892059
"44","fecundity <-> fecundity","V[fecundity]",1.07484995926204,1.07484995926204
"45","Min_caudalpeduncle_depth <-> Min_caudalpeduncle_depth","V[Min_caudalpeduncle_depth]",0.0351425685373936,0.0351425685373936
"46","Lower_jaw_length <-> Lower_jaw_length","V[Lower_jaw_length]",0.0252510237038693,0.0252510237038693
"47","Max_body_depth <-> Max_body_depth","V[Max_body_depth]",0.00821835708303923,0.00821835708303923
"48","Max_body_width <-> Max_body_width","V[Max_body_width]",0.00666869430797393,0.00666869430797393
"49","Temperature <-> Temperature","V[Temperature]",14.3629738017129,14.3629738017129
