;Path;Parameter;EstimateNotStd;StdErr;EstimateStd
1;habitatbenthopelagic -> c_m;p0;0.223385779;0.147550065;0.105834286
2;habitatdemersal -> c_m;p1;-0.321555782;0.148286053;-0.161750725
3;habitatpelagic -> c_m;p2;0.112697426;0.100154608;0.074995548
4;Temperature-> K;p3;0.016090808;0.003316336;0.160668759
5;Temperature-> M;p4;0.032147335;0.004765732;0.297600067
6;Temperature-> Loo;p5;-0.016388644;0.002107925;-0.168435044
7;Loo -> K;p6;-0.510699687;0.033817364;-0.496169137
8;Loo -> M;p7;-0.663987962;0.049566529;-0.598079366
9;Loo -> Max_body_width;p8;-0.004781584;0.007094653;-0.02159281
10;Loo -> Max_body_depth;p9;-0.013907274;0.007923783;-0.056570654
11;Loo -> Lower_jaw_length;p10;0.054479736;0.012578696;0.126451119
12;Loo -> Min_caudalpeduncle_depth;p11;-0.046472656;0.014663694;-0.091399769
13;Loo -> Woo;p12;2.962375524;0.030097086;2.741229618
14;Max_body_depth-> c_m;p13;-0.371359836;1.285297196;-0.014400351
15;Max_body_width-> c_m;p14;-0.4416428;1.308988902;-0.015426276
16;Lower_jaw_length-> c_m;p15;1.403455213;0.642632403;0.095375805
17;Min_caudalpeduncle_depth  -> c_m;p16;-0.098478747;0.549754924;-0.007898093
18;Max_body_depth-> TLDiet;p17;0.033245937;0.027638497;0.016156519
19;Max_body_width-> TLDiet;p18;0.037749006;0.030491421;0.016524432
20;Lower_jaw_length-> TLDiet;p19;0.079139827;0.015312154;0.067400919
21;Min_caudalpeduncle_depth  -> TLDiet;p20;-0.0035927;0.013085848;-0.003611035
22;c_m -> K;p21;0.15006593;0.007993916;0.924312695
23;c_m -> M;p22;0.156413803;0.009391481;0.893195134
24;c_m -> Woo;p23;-0.011734492;0.00736976;-0.068840223
25;K -> Lm;p24;0.189958495;0.067503054;0.455719921
26;K -> tm;p25;-0.113462172;0.039830395;-0.111667847
27;M -> tmax;p26;-0.445973011;0.021981268;-0.488113335
28;M -> tm;p27;0.387298124;0.041406305;0.411138346
29;M -> Lm;p28;-0.036707164;0.034641337;-0.094985141
30;Woo -> TLDiet;p29;0.03129849;0.002562102;0.066861557
31;Woo -> fecundity;p30;0.588083747;0.028852338;0.226051772
;log(Temperature) -> log(MSM);ip0;0.001037582;;0.001443205
;log(Infinity length) -> log(MSM);ip1;-0.063311033;;-0.008568315
;log(MSM) -> log(Fecundity);ip2;-0.006900864;;-0.015561454
;log(MSM) -> Trophic level;ip3;-0.000367272;;-0.004602764
;log(MSM) -> log(Max age);ip4;-0.066925355;;-0.451169352
;log(MSM) -> log(Maturation age);ip5;0.043551966;;0.264010762
;log(MSM) -> log(Maturation length);ip6;0.022764791;;0.336387443
32;habitatbenthopelagic <-> habitatbenthopelagic;V[habitatbenthopelagic];1.226798009;0.035977953;1.226798009
33;habitatdemersal <-> habitatdemersal;V[habitatdemersal];1.382964907;0.037636634;1.382964907
34;habitatpelagic <-> habitatpelagic;V[habitatpelagic];2.420328428;0.080367879;2.420328428
35;c_m <-> c_m;V[c_m];5.465518081;0.123832473;5.465518081
36;tm <-> tm;V[tm];0.148731722;0.01245984;0.148731722
37;Lm <-> Lm;V[Lm];0.025031053;0.006931447;0.025031053
38;tmax <-> tmax;V[tmax];0.139915104;0.009335851;0.139915104
39;K <-> K;V[K];0.144064742;0.015344241;0.144064742
40;Woo <-> Woo;V[Woo];0.158809108;0.008261481;0.158809108
41;M <-> M;V[M];0.167605702;0.015659153;0.167605702
42;TLDiet <-> TLDiet;V[TLDiet];0.034799195;0.001109516;0.034799195
43;Loo <-> Loo;V[Loo];0.135983438;0.006404915;0.135983438
44;fecundity <-> fecundity;V[fecundity];1.074825421;0.024121668;1.074825421
45;Min_caudalpeduncle_depth <-> Min_caudalpeduncle_depth;V[Min_caudalpeduncle_depth];0.0351553;0.002251092;0.0351553
46;Lower_jaw_length <-> Lower_jaw_length;V[Lower_jaw_length];0.025241238;0.001935609;0.025241238
47;Max_body_depth <-> Max_body_depth;V[Max_body_depth];0.008218407;0.001078343;0.008218407
48;Max_body_width <-> Max_body_width;V[Max_body_width];0.00666824;0.000963608;0.00666824
49;Temperature <-> Temperature;V[Temperature];14.36365238;0.024180402;14.36365238
