"","species.linf.sp0","species.k.sp0","species.t0.sp0","species.vonbertalanffy.threshold.age.sp0","species.length2weight.condition.factor.sp0","species.length2weight.allometric.power.sp0","species.delta.lmax.factor.sp0","species.relativefecundity.sp0","species.egg.size.sp0","species.egg.weight.sp0","species.sexratio.sp0","species.lifespan.sp0","cluster_cut","larv_mort"
"species.linf.sp0",1,-0.289686086456656,-0.124354230225544,0.104479286118321,-0.15755144891563,0.13542036438776,NA,-0.215081138987381,0.308228681482484,0.292134158279858,NA,0.619860868053683,0.107709364282652,-0.641520413435277
"species.k.sp0",-0.289686086456656,1,0.400498175788217,-0.548920066185814,0.144297622243545,-0.0967697384970388,NA,0.396828128981262,-0.109944129752554,-0.0948816333273227,NA,-0.552984377070632,0.164212502889609,0.365359979920765
"species.t0.sp0",-0.124354230225544,0.400498175788217,1,-0.19183575699145,0.192038183658686,-0.104772293089628,NA,0.146421978468233,-0.359428858000191,-0.402909037040498,NA,-0.115921576621879,0.247315238461702,0.0916554301341333
"species.vonbertalanffy.threshold.age.sp0",0.104479286118321,-0.548920066185814,-0.19183575699145,1,-0.42675325702081,0.17351254671112,NA,0.0305027430928895,0.0808523585015813,0.0378288909738237,NA,0.385225860998939,0.022169597631703,-0.0201710142094695
"species.length2weight.condition.factor.sp0",-0.15755144891563,0.144297622243545,0.192038183658686,-0.42675325702081,1,-0.359543928034827,NA,0.0231093936304483,-0.0372029198514478,-0.0410542846358685,NA,-0.228263784425777,0.058923771801138,-0.0823180618185122
"species.length2weight.allometric.power.sp0",0.13542036438776,-0.0967697384970388,-0.104772293089628,0.17351254671112,-0.359543928034827,1,NA,-0.101182548538845,0.121148545242174,0.0942547998112318,NA,0.171586158271529,-0.0956290834034735,-0.236047522364718
"species.delta.lmax.factor.sp0",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"species.relativefecundity.sp0",-0.215081138987381,0.396828128981262,0.146421978468233,0.0305027430928895,0.0231093936304483,-0.101182548538845,NA,1,-0.0568814143730999,-0.0394531302268913,NA,-0.189833294343028,0.184534720382486,0.44735320530713
"species.egg.size.sp0",0.308228681482484,-0.109944129752554,-0.359428858000191,0.0808523585015813,-0.0372029198514478,0.121148545242174,NA,-0.0568814143730999,1,0.939810247838342,NA,0.202697118653003,-0.0120891440928528,-0.169344198556249
"species.egg.weight.sp0",0.292134158279858,-0.0948816333273227,-0.402909037040498,0.0378288909738237,-0.0410542846358685,0.0942547998112318,NA,-0.0394531302268913,0.939810247838342,1,NA,0.174487406331838,-0.0426024951381057,-0.152096413104843
"species.sexratio.sp0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"species.lifespan.sp0",0.619860868053683,-0.552984377070632,-0.115921576621879,0.385225860998939,-0.228263784425777,0.171586158271529,NA,-0.189833294343028,0.202697118653003,0.174487406331838,NA,1,-0.0581989740770519,-0.50429228066036
"cluster_cut",0.107709364282652,0.164212502889609,0.247315238461702,0.022169597631703,0.058923771801138,-0.0956290834034735,NA,0.184534720382486,-0.0120891440928528,-0.0426024951381057,NA,-0.0581989740770519,1,0.204980688456059
"larv_mort",-0.641520413435277,0.365359979920765,0.0916554301341333,-0.0201710142094695,-0.0823180618185122,-0.236047522364718,NA,0.44735320530713,-0.169344198556249,-0.152096413104843,NA,-0.50429228066036,0.204980688456059,1
